1
20 210
1 1 -3731
1 2 299
1 3 169
1 4 169
1 5 169
1 6 169
1 7 169
1 8 169
1 9 299
1 10 169
1 11 130
1 12 130
1 13 130
1 14 260
1 15 325
1 16 260
1 17 130
1 18 195
1 19 130
1 20 260
2 2 -6371
2 3 299
2 4 299
2 5 299
2 6 299
2 7 299
2 8 299
2 9 529
2 10 299
2 11 230
2 12 230
2 13 230
2 14 460
2 15 575
2 16 460
2 17 230
2 18 345
2 19 230
2 20 460
3 3 -3731
3 4 169
3 5 169
3 6 169
3 7 169
3 8 169
3 9 299
3 10 169
3 11 130
3 12 130
3 13 130
3 14 260
3 15 325
3 16 260
3 17 130
3 18 195
3 19 130
3 20 260
4 4 -3731
4 5 169
4 6 169
4 7 169
4 8 169
4 9 299
4 10 169
4 11 130
4 12 130
4 13 130
4 14 260
4 15 325
4 16 260
4 17 130
4 18 195
4 19 130
4 20 260
5 5 -3731
5 6 169
5 7 169
5 8 169
5 9 299
5 10 169
5 11 130
5 12 130
5 13 130
5 14 260
5 15 325
5 16 260
5 17 130
5 18 195
5 19 130
5 20 260
6 6 -3731
6 7 169
6 8 169
6 9 299
6 10 169
6 11 130
6 12 130
6 13 130
6 14 260
6 15 325
6 16 260
6 17 130
6 18 195
6 19 130
6 20 260
7 7 -3731
7 8 169
7 9 299
7 10 169
7 11 130
7 12 130
7 13 130
7 14 260
7 15 325
7 16 260
7 17 130
7 18 195
7 19 130
7 20 260
8 8 -3731
8 9 299
8 10 169
8 11 130
8 12 130
8 13 130
8 14 260
8 15 325
8 16 260
8 17 130
8 18 195
8 19 130
8 20 260
9 9 -6371
9 10 299
9 11 230
9 12 230
9 13 230
9 14 460
9 15 575
9 16 460
9 17 230
9 18 345
9 19 230
9 20 460
10 10 -3731
10 11 130
10 12 130
10 13 130
10 14 260
10 15 325
10 16 260
10 17 130
10 18 195
10 19 130
10 20 260
11 11 -2900
11 12 100
11 13 100
11 14 200
11 15 250
11 16 200
11 17 100
11 18 150
11 19 100
11 20 200
12 12 -2900
12 13 100
12 14 200
12 15 250
12 16 200
12 17 100
12 18 150
12 19 100
12 20 200
13 13 -2900
13 14 200
13 15 250
13 16 200
13 17 100
13 18 150
13 19 100
13 20 200
14 14 -5600
14 15 500
14 16 400
14 17 200
14 18 300
14 19 200
14 20 400
15 15 -6875
15 16 500
15 17 250
15 18 375
15 19 250
15 20 500
16 16 -5600
16 17 200
16 18 300
16 19 200
16 20 400
17 17 -2900
17 18 150
17 19 100
17 20 200
18 18 -4275
18 19 150
18 20 300
19 19 -2900
19 20 200
20 20 -5600
