1
20 210
1 1 -3600
1 2 400
1 3 400
1 4 400
1 5 300
1 6 20
1 7 20
1 8 20
1 9 20
1 10 20
1 11 380
1 12 380
1 13 380
1 14 380
1 15 200
1 16 80
1 17 60
1 18 60
1 19 40
1 20 40
2 2 -3600
2 3 400
2 4 400
2 5 300
2 6 20
2 7 20
2 8 20
2 9 20
2 10 20
2 11 380
2 12 380
2 13 380
2 14 380
2 15 200
2 16 80
2 17 60
2 18 60
2 19 40
2 20 40
3 3 -3600
3 4 400
3 5 300
3 6 20
3 7 20
3 8 20
3 9 20
3 10 20
3 11 380
3 12 380
3 13 380
3 14 380
3 15 200
3 16 80
3 17 60
3 18 60
3 19 40
3 20 40
4 4 -3600
4 5 300
4 6 20
4 7 20
4 8 20
4 9 20
4 10 20
4 11 380
4 12 380
4 13 380
4 14 380
4 15 200
4 16 80
4 17 60
4 18 60
4 19 40
4 20 40
5 5 -2775
5 6 15
5 7 15
5 8 15
5 9 15
5 10 15
5 11 285
5 12 285
5 13 285
5 14 285
5 15 150
5 16 60
5 17 45
5 18 45
5 19 30
5 20 30
6 6 -199
6 7 1
6 8 1
6 9 1
6 10 1
6 11 19
6 12 19
6 13 19
6 14 19
6 15 10
6 16 4
6 17 3
6 18 3
6 19 2
6 20 2
7 7 -199
7 8 1
7 9 1
7 10 1
7 11 19
7 12 19
7 13 19
7 14 19
7 15 10
7 16 4
7 17 3
7 18 3
7 19 2
7 20 2
8 8 -199
8 9 1
8 10 1
8 11 19
8 12 19
8 13 19
8 14 19
8 15 10
8 16 4
8 17 3
8 18 3
8 19 2
8 20 2
9 9 -199
9 10 1
9 11 19
9 12 19
9 13 19
9 14 19
9 15 10
9 16 4
9 17 3
9 18 3
9 19 2
9 20 2
10 10 -199
10 11 19
10 12 19
10 13 19
10 14 19
10 15 10
10 16 4
10 17 3
10 18 3
10 19 2
10 20 2
11 11 -3439
11 12 361
11 13 361
11 14 361
11 15 190
11 16 76
11 17 57
11 18 57
11 19 38
11 20 38
12 12 -3439
12 13 361
12 14 361
12 15 190
12 16 76
12 17 57
12 18 57
12 19 38
12 20 38
13 13 -3439
13 14 361
13 15 190
13 16 76
13 17 57
13 18 57
13 19 38
13 20 38
14 14 -3439
14 15 190
14 16 76
14 17 57
14 18 57
14 19 38
14 20 38
15 15 -1900
15 16 40
15 17 30
15 18 30
15 19 20
15 20 20
16 16 -784
16 17 12
16 18 12
16 19 8
16 20 8
17 17 -591
17 18 9
17 19 6
17 20 6
18 18 -591
18 19 6
18 20 6
19 19 -396
19 20 4
20 20 -396
