1
40 820
1 1 -3375
1 2 225
1 3 225
1 4 225
1 5 225
1 6 45
1 7 45
1 8 45
1 9 45
1 10 45
1 11 45
1 12 45
1 13 45
1 14 45
1 15 45
1 16 45
1 17 45
1 18 45
1 19 45
1 20 45
1 21 210
1 22 210
1 23 210
1 24 210
1 25 60
1 26 60
1 27 60
1 28 60
1 29 60
1 30 60
1 31 60
1 32 60
1 33 60
1 34 60
1 35 60
1 36 60
1 37 60
1 38 60
1 39 60
1 40 60
2 2 -3375
2 3 225
2 4 225
2 5 225
2 6 45
2 7 45
2 8 45
2 9 45
2 10 45
2 11 45
2 12 45
2 13 45
2 14 45
2 15 45
2 16 45
2 17 45
2 18 45
2 19 45
2 20 45
2 21 210
2 22 210
2 23 210
2 24 210
2 25 60
2 26 60
2 27 60
2 28 60
2 29 60
2 30 60
2 31 60
2 32 60
2 33 60
2 34 60
2 35 60
2 36 60
2 37 60
2 38 60
2 39 60
2 40 60
3 3 -3375
3 4 225
3 5 225
3 6 45
3 7 45
3 8 45
3 9 45
3 10 45
3 11 45
3 12 45
3 13 45
3 14 45
3 15 45
3 16 45
3 17 45
3 18 45
3 19 45
3 20 45
3 21 210
3 22 210
3 23 210
3 24 210
3 25 60
3 26 60
3 27 60
3 28 60
3 29 60
3 30 60
3 31 60
3 32 60
3 33 60
3 34 60
3 35 60
3 36 60
3 37 60
3 38 60
3 39 60
3 40 60
4 4 -3375
4 5 225
4 6 45
4 7 45
4 8 45
4 9 45
4 10 45
4 11 45
4 12 45
4 13 45
4 14 45
4 15 45
4 16 45
4 17 45
4 18 45
4 19 45
4 20 45
4 21 210
4 22 210
4 23 210
4 24 210
4 25 60
4 26 60
4 27 60
4 28 60
4 29 60
4 30 60
4 31 60
4 32 60
4 33 60
4 34 60
4 35 60
4 36 60
4 37 60
4 38 60
4 39 60
4 40 60
5 5 -3375
5 6 45
5 7 45
5 8 45
5 9 45
5 10 45
5 11 45
5 12 45
5 13 45
5 14 45
5 15 45
5 16 45
5 17 45
5 18 45
5 19 45
5 20 45
5 21 210
5 22 210
5 23 210
5 24 210
5 25 60
5 26 60
5 27 60
5 28 60
5 29 60
5 30 60
5 31 60
5 32 60
5 33 60
5 34 60
5 35 60
5 36 60
5 37 60
5 38 60
5 39 60
5 40 60
6 6 -711
6 7 9
6 8 9
6 9 9
6 10 9
6 11 9
6 12 9
6 13 9
6 14 9
6 15 9
6 16 9
6 17 9
6 18 9
6 19 9
6 20 9
6 21 42
6 22 42
6 23 42
6 24 42
6 25 12
6 26 12
6 27 12
6 28 12
6 29 12
6 30 12
6 31 12
6 32 12
6 33 12
6 34 12
6 35 12
6 36 12
6 37 12
6 38 12
6 39 12
6 40 12
7 7 -711
7 8 9
7 9 9
7 10 9
7 11 9
7 12 9
7 13 9
7 14 9
7 15 9
7 16 9
7 17 9
7 18 9
7 19 9
7 20 9
7 21 42
7 22 42
7 23 42
7 24 42
7 25 12
7 26 12
7 27 12
7 28 12
7 29 12
7 30 12
7 31 12
7 32 12
7 33 12
7 34 12
7 35 12
7 36 12
7 37 12
7 38 12
7 39 12
7 40 12
8 8 -711
8 9 9
8 10 9
8 11 9
8 12 9
8 13 9
8 14 9
8 15 9
8 16 9
8 17 9
8 18 9
8 19 9
8 20 9
8 21 42
8 22 42
8 23 42
8 24 42
8 25 12
8 26 12
8 27 12
8 28 12
8 29 12
8 30 12
8 31 12
8 32 12
8 33 12
8 34 12
8 35 12
8 36 12
8 37 12
8 38 12
8 39 12
8 40 12
9 9 -711
9 10 9
9 11 9
9 12 9
9 13 9
9 14 9
9 15 9
9 16 9
9 17 9
9 18 9
9 19 9
9 20 9
9 21 42
9 22 42
9 23 42
9 24 42
9 25 12
9 26 12
9 27 12
9 28 12
9 29 12
9 30 12
9 31 12
9 32 12
9 33 12
9 34 12
9 35 12
9 36 12
9 37 12
9 38 12
9 39 12
9 40 12
10 10 -711
10 11 9
10 12 9
10 13 9
10 14 9
10 15 9
10 16 9
10 17 9
10 18 9
10 19 9
10 20 9
10 21 42
10 22 42
10 23 42
10 24 42
10 25 12
10 26 12
10 27 12
10 28 12
10 29 12
10 30 12
10 31 12
10 32 12
10 33 12
10 34 12
10 35 12
10 36 12
10 37 12
10 38 12
10 39 12
10 40 12
11 11 -711
11 12 9
11 13 9
11 14 9
11 15 9
11 16 9
11 17 9
11 18 9
11 19 9
11 20 9
11 21 42
11 22 42
11 23 42
11 24 42
11 25 12
11 26 12
11 27 12
11 28 12
11 29 12
11 30 12
11 31 12
11 32 12
11 33 12
11 34 12
11 35 12
11 36 12
11 37 12
11 38 12
11 39 12
11 40 12
12 12 -711
12 13 9
12 14 9
12 15 9
12 16 9
12 17 9
12 18 9
12 19 9
12 20 9
12 21 42
12 22 42
12 23 42
12 24 42
12 25 12
12 26 12
12 27 12
12 28 12
12 29 12
12 30 12
12 31 12
12 32 12
12 33 12
12 34 12
12 35 12
12 36 12
12 37 12
12 38 12
12 39 12
12 40 12
13 13 -711
13 14 9
13 15 9
13 16 9
13 17 9
13 18 9
13 19 9
13 20 9
13 21 42
13 22 42
13 23 42
13 24 42
13 25 12
13 26 12
13 27 12
13 28 12
13 29 12
13 30 12
13 31 12
13 32 12
13 33 12
13 34 12
13 35 12
13 36 12
13 37 12
13 38 12
13 39 12
13 40 12
14 14 -711
14 15 9
14 16 9
14 17 9
14 18 9
14 19 9
14 20 9
14 21 42
14 22 42
14 23 42
14 24 42
14 25 12
14 26 12
14 27 12
14 28 12
14 29 12
14 30 12
14 31 12
14 32 12
14 33 12
14 34 12
14 35 12
14 36 12
14 37 12
14 38 12
14 39 12
14 40 12
15 15 -711
15 16 9
15 17 9
15 18 9
15 19 9
15 20 9
15 21 42
15 22 42
15 23 42
15 24 42
15 25 12
15 26 12
15 27 12
15 28 12
15 29 12
15 30 12
15 31 12
15 32 12
15 33 12
15 34 12
15 35 12
15 36 12
15 37 12
15 38 12
15 39 12
15 40 12
16 16 -711
16 17 9
16 18 9
16 19 9
16 20 9
16 21 42
16 22 42
16 23 42
16 24 42
16 25 12
16 26 12
16 27 12
16 28 12
16 29 12
16 30 12
16 31 12
16 32 12
16 33 12
16 34 12
16 35 12
16 36 12
16 37 12
16 38 12
16 39 12
16 40 12
17 17 -711
17 18 9
17 19 9
17 20 9
17 21 42
17 22 42
17 23 42
17 24 42
17 25 12
17 26 12
17 27 12
17 28 12
17 29 12
17 30 12
17 31 12
17 32 12
17 33 12
17 34 12
17 35 12
17 36 12
17 37 12
17 38 12
17 39 12
17 40 12
18 18 -711
18 19 9
18 20 9
18 21 42
18 22 42
18 23 42
18 24 42
18 25 12
18 26 12
18 27 12
18 28 12
18 29 12
18 30 12
18 31 12
18 32 12
18 33 12
18 34 12
18 35 12
18 36 12
18 37 12
18 38 12
18 39 12
18 40 12
19 19 -711
19 20 9
19 21 42
19 22 42
19 23 42
19 24 42
19 25 12
19 26 12
19 27 12
19 28 12
19 29 12
19 30 12
19 31 12
19 32 12
19 33 12
19 34 12
19 35 12
19 36 12
19 37 12
19 38 12
19 39 12
19 40 12
20 20 -711
20 21 42
20 22 42
20 23 42
20 24 42
20 25 12
20 26 12
20 27 12
20 28 12
20 29 12
20 30 12
20 31 12
20 32 12
20 33 12
20 34 12
20 35 12
20 36 12
20 37 12
20 38 12
20 39 12
20 40 12
21 21 -3164
21 22 196
21 23 196
21 24 196
21 25 56
21 26 56
21 27 56
21 28 56
21 29 56
21 30 56
21 31 56
21 32 56
21 33 56
21 34 56
21 35 56
21 36 56
21 37 56
21 38 56
21 39 56
21 40 56
22 22 -3164
22 23 196
22 24 196
22 25 56
22 26 56
22 27 56
22 28 56
22 29 56
22 30 56
22 31 56
22 32 56
22 33 56
22 34 56
22 35 56
22 36 56
22 37 56
22 38 56
22 39 56
22 40 56
23 23 -3164
23 24 196
23 25 56
23 26 56
23 27 56
23 28 56
23 29 56
23 30 56
23 31 56
23 32 56
23 33 56
23 34 56
23 35 56
23 36 56
23 37 56
23 38 56
23 39 56
23 40 56
24 24 -3164
24 25 56
24 26 56
24 27 56
24 28 56
24 29 56
24 30 56
24 31 56
24 32 56
24 33 56
24 34 56
24 35 56
24 36 56
24 37 56
24 38 56
24 39 56
24 40 56
25 25 -944
25 26 16
25 27 16
25 28 16
25 29 16
25 30 16
25 31 16
25 32 16
25 33 16
25 34 16
25 35 16
25 36 16
25 37 16
25 38 16
25 39 16
25 40 16
26 26 -944
26 27 16
26 28 16
26 29 16
26 30 16
26 31 16
26 32 16
26 33 16
26 34 16
26 35 16
26 36 16
26 37 16
26 38 16
26 39 16
26 40 16
27 27 -944
27 28 16
27 29 16
27 30 16
27 31 16
27 32 16
27 33 16
27 34 16
27 35 16
27 36 16
27 37 16
27 38 16
27 39 16
27 40 16
28 28 -944
28 29 16
28 30 16
28 31 16
28 32 16
28 33 16
28 34 16
28 35 16
28 36 16
28 37 16
28 38 16
28 39 16
28 40 16
29 29 -944
29 30 16
29 31 16
29 32 16
29 33 16
29 34 16
29 35 16
29 36 16
29 37 16
29 38 16
29 39 16
29 40 16
30 30 -944
30 31 16
30 32 16
30 33 16
30 34 16
30 35 16
30 36 16
30 37 16
30 38 16
30 39 16
30 40 16
31 31 -944
31 32 16
31 33 16
31 34 16
31 35 16
31 36 16
31 37 16
31 38 16
31 39 16
31 40 16
32 32 -944
32 33 16
32 34 16
32 35 16
32 36 16
32 37 16
32 38 16
32 39 16
32 40 16
33 33 -944
33 34 16
33 35 16
33 36 16
33 37 16
33 38 16
33 39 16
33 40 16
34 34 -944
34 35 16
34 36 16
34 37 16
34 38 16
34 39 16
34 40 16
35 35 -944
35 36 16
35 37 16
35 38 16
35 39 16
35 40 16
36 36 -944
36 37 16
36 38 16
36 39 16
36 40 16
37 37 -944
37 38 16
37 39 16
37 40 16
38 38 -944
38 39 16
38 40 16
39 39 -944
39 40 16
40 40 -944
