1
100 5050
1 1 -1633379
1 2 9559
1 3 18876
1 4 26499
1 5 20328
1 6 29403
1 7 7623
1 8 17061
1 9 22506
1 10 19481
1 11 9438
1 12 16698
1 13 121
1 14 21780
1 15 2420
1 16 20570
1 17 847
1 18 605
1 19 5929
1 20 13310
1 21 2662
1 22 28314
1 23 6171
1 24 18634
1 25 22990
1 26 7260
1 27 12100
1 28 16577
1 29 18029
1 30 29645
1 31 9196
1 32 3146
1 33 6655
1 34 13794
1 35 15004
1 36 12584
1 37 29524
1 38 29766
1 39 19360
1 40 17424
1 41 22506
1 42 19481
1 43 27346
1 44 21417
1 45 21417
1 46 6050
1 47 23595
1 48 13552
1 49 28798
1 50 28677
1 51 19723
1 52 28314
1 53 12221
1 54 4356
1 55 29524
1 56 5929
1 57 12826
1 58 21780
1 59 8228
1 60 21175
1 61 21538
1 62 15972
1 63 23716
1 64 30250
1 65 15488
1 66 19602
1 67 12947
1 68 18029
1 69 8591
1 70 22264
1 71 28193
1 72 14520
1 73 23111
1 74 26862
1 75 27467
1 76 14278
1 77 1936
1 78 20812
1 79 30492
1 80 5324
1 81 4961
1 82 22627
1 83 10164
1 84 1210
1 85 29887
1 86 13915
1 87 27951
1 88 4356
1 89 22264
1 90 16335
1 91 24563
1 92 5324
1 93 27588
1 94 23111
1 95 13552
1 96 7744
1 97 484
1 98 25773
1 99 9680
1 100 1694
2 2 -1069739
2 3 12324
2 4 17301
2 5 13272
2 6 19197
2 7 4977
2 8 11139
2 9 14694
2 10 12719
2 11 6162
2 12 10902
2 13 79
2 14 14220
2 15 1580
2 16 13430
2 17 553
2 18 395
2 19 3871
2 20 8690
2 21 1738
2 22 18486
2 23 4029
2 24 12166
2 25 15010
2 26 4740
2 27 7900
2 28 10823
2 29 11771
2 30 19355
2 31 6004
2 32 2054
2 33 4345
2 34 9006
2 35 9796
2 36 8216
2 37 19276
2 38 19434
2 39 12640
2 40 11376
2 41 14694
2 42 12719
2 43 17854
2 44 13983
2 45 13983
2 46 3950
2 47 15405
2 48 8848
2 49 18802
2 50 18723
2 51 12877
2 52 18486
2 53 7979
2 54 2844
2 55 19276
2 56 3871
2 57 8374
2 58 14220
2 59 5372
2 60 13825
2 61 14062
2 62 10428
2 63 15484
2 64 19750
2 65 10112
2 66 12798
2 67 8453
2 68 11771
2 69 5609
2 70 14536
2 71 18407
2 72 9480
2 73 15089
2 74 17538
2 75 17933
2 76 9322
2 77 1264
2 78 13588
2 79 19908
2 80 3476
2 81 3239
2 82 14773
2 83 6636
2 84 790
2 85 19513
2 86 9085
2 87 18249
2 88 2844
2 89 14536
2 90 10665
2 91 16037
2 92 3476
2 93 18012
2 94 15089
2 95 8848
2 96 5056
2 97 316
2 98 16827
2 99 6320
2 100 1106
3 3 -2100384
3 4 34164
3 5 26208
3 6 37908
3 7 9828
3 8 21996
3 9 29016
3 10 25116
3 11 12168
3 12 21528
3 13 156
3 14 28080
3 15 3120
3 16 26520
3 17 1092
3 18 780
3 19 7644
3 20 17160
3 21 3432
3 22 36504
3 23 7956
3 24 24024
3 25 29640
3 26 9360
3 27 15600
3 28 21372
3 29 23244
3 30 38220
3 31 11856
3 32 4056
3 33 8580
3 34 17784
3 35 19344
3 36 16224
3 37 38064
3 38 38376
3 39 24960
3 40 22464
3 41 29016
3 42 25116
3 43 35256
3 44 27612
3 45 27612
3 46 7800
3 47 30420
3 48 17472
3 49 37128
3 50 36972
3 51 25428
3 52 36504
3 53 15756
3 54 5616
3 55 38064
3 56 7644
3 57 16536
3 58 28080
3 59 10608
3 60 27300
3 61 27768
3 62 20592
3 63 30576
3 64 39000
3 65 19968
3 66 25272
3 67 16692
3 68 23244
3 69 11076
3 70 28704
3 71 36348
3 72 18720
3 73 29796
3 74 34632
3 75 35412
3 76 18408
3 77 2496
3 78 26832
3 79 39312
3 80 6864
3 81 6396
3 82 29172
3 83 13104
3 84 1560
3 85 38532
3 86 17940
3 87 36036
3 88 5616
3 89 28704
3 90 21060
3 91 31668
3 92 6864
3 93 35568
3 94 29796
3 95 17472
3 96 9984
3 97 624
3 98 33228
3 99 12480
3 100 2184
4 4 -2934819
4 5 36792
4 6 53217
4 7 13797
4 8 30879
4 9 40734
4 10 35259
4 11 17082
4 12 30222
4 13 219
4 14 39420
4 15 4380
4 16 37230
4 17 1533
4 18 1095
4 19 10731
4 20 24090
4 21 4818
4 22 51246
4 23 11169
4 24 33726
4 25 41610
4 26 13140
4 27 21900
4 28 30003
4 29 32631
4 30 53655
4 31 16644
4 32 5694
4 33 12045
4 34 24966
4 35 27156
4 36 22776
4 37 53436
4 38 53874
4 39 35040
4 40 31536
4 41 40734
4 42 35259
4 43 49494
4 44 38763
4 45 38763
4 46 10950
4 47 42705
4 48 24528
4 49 52122
4 50 51903
4 51 35697
4 52 51246
4 53 22119
4 54 7884
4 55 53436
4 56 10731
4 57 23214
4 58 39420
4 59 14892
4 60 38325
4 61 38982
4 62 28908
4 63 42924
4 64 54750
4 65 28032
4 66 35478
4 67 23433
4 68 32631
4 69 15549
4 70 40296
4 71 51027
4 72 26280
4 73 41829
4 74 48618
4 75 49713
4 76 25842
4 77 3504
4 78 37668
4 79 55188
4 80 9636
4 81 8979
4 82 40953
4 83 18396
4 84 2190
4 85 54093
4 86 25185
4 87 50589
4 88 7884
4 89 40296
4 90 29565
4 91 44457
4 92 9636
4 93 49932
