1
20 210
1 1 -629974
1 2 44103
1 3 55671
1 4 51815
1 5 7953
1 6 8435
1 7 36391
1 8 48441
1 9 31812
1 10 30848
1 11 60491
1 12 22172
1 13 7471
1 14 53261
1 15 51815
1 16 36150
1 17 8676
1 18 13496
1 19 53743
1 20 7230
2 2 -488976
2 3 42273
2 4 39345
2 5 6039
2 6 6405
2 7 27633
2 8 36783
2 9 24156
2 10 23424
2 11 45933
2 12 16836
2 13 5673
2 14 40443
2 15 39345
2 16 27450
2 17 6588
2 18 10248
2 19 40809
2 20 5490
3 3 -606144
3 4 49665
3 5 7623
3 6 8085
3 7 34881
3 8 46431
3 9 30492
3 10 29568
3 11 57981
3 12 21252
3 13 7161
3 14 51051
3 15 49665
3 16 34650
3 17 8316
3 18 12936
3 19 51513
3 20 6930
4 4 -567600
4 5 7095
4 6 7525
4 7 32465
4 8 43215
4 9 28380
4 10 27520
4 11 53965
4 12 19780
4 13 6665
4 14 47515
4 15 46225
4 16 32250
4 17 7740
4 18 12040
4 19 47945
4 20 6450
5 5 -93126
5 6 1155
5 7 4983
5 8 6633
5 9 4356
5 10 4224
5 11 8283
5 12 3036
5 13 1023
5 14 7293
5 15 7095
5 16 4950
5 17 1188
5 18 1848
5 19 7359
5 20 990
6 6 -98700
6 7 5285
6 8 7035
6 9 4620
6 10 4480
6 11 8785
6 12 3220
6 13 1085
6 14 7735
6 15 7525
6 16 5250
6 17 1260
6 18 1960
6 19 7805
6 20 1050
7 7 -408304
7 8 30351
7 9 19932
7 10 19328
7 11 37901
7 12 13892
7 13 4681
7 14 33371
7 15 32465
7 16 22650
7 17 5436
7 18 8456
7 19 33673
7 20 4530
8 8 -533454
8 9 26532
8 10 25728
8 11 50451
8 12 18492
8 13 6231
8 14 44421
8 15 43215
8 16 30150
8 17 7236
8 18 11256
8 19 44823
8 20 6030
9 9 -359436
9 10 16896
9 11 33132
9 12 12144
9 13 4092
9 14 29172
9 15 28380
9 16 19800
9 17 4752
9 18 7392
9 19 29436
9 20 3960
10 10 -349056
10 11 32128
10 12 11776
10 13 3968
10 14 28288
10 15 27520
10 16 19200
10 17 4608
10 18 7168
10 19 28544
10 20 3840
11 11 -653604
11 12 23092
11 13 7781
11 14 55471
11 15 53965
11 16 37650
11 17 9036
11 18 14056
11 19 55973
11 20 7530
12 12 -254196
12 13 2852
12 14 20332
12 15 19780
12 16 13800
12 17 3312
12 18 5152
12 19 20516
12 20 2760
13 13 -87544
13 14 6851
13 15 6665
13 16 4650
13 17 1116
13 18 1736
13 19 6913
13 20 930
14 14 -582114
14 15 47515
14 16 33150
14 17 7956
14 18 12376
14 19 49283
14 20 6630
15 15 -567600
15 16 32250
15 17 7740
15 18 12040
15 19 47945
15 20 6450
16 16 -405750
16 17 5400
16 18 8400
16 19 33450
16 20 4500
17 17 -101484
17 18 2016
17 19 8028
17 20 1080
18 18 -156744
18 19 12488
18 20 1680
19 19 -586936
19 20 6690
20 20 -84750
